album,album_release_date,track_name,track_id
Nueve,2024-06-11,La Máquina Del Tiempo,6OrJEoztUAkM4AR27eCLNE
Nueve,2024-06-11,Ella Va,438TsZ1Dast6yqtREzaIaA
Nueve,2024-06-11,Mariposa,52IViXynTZLAIvnrr8XLYL
Nueve,2024-06-11,La Cita,71TKiP1tulFPh8kTIuxbbR
Nueve,2024-06-11,Insomnio,4AkRhcRxZDiJSNT4axf0dv
Nueve,2024-06-11,Medusa Lunar,5G7ov1bhSU1gOcMXFjod67
Nueve,2024-06-11,Riesgo,4HP68xT8tVthKd4iqCV6Mb
Nueve,2024-06-11,Bajo La Alfombra,1uUWrIYGke0wkQvAn0V8BC
Nueve,2024-06-11,Viaje Astral,2lORZUW8IPBHNSDGvexBP9
Recuerdos al Futuro (En Vivo),2018-05-25,Diferentes Maneras - En Vivo,6dYeSQXPV6JTUlVJy75uQM
Recuerdos al Futuro (En Vivo),2018-05-25,Te Arrepiento - En Vivo,6T8BG75dDF6FCYWR6mwOTA
Recuerdos al Futuro (En Vivo),2018-05-25,3 Walls - En Vivo,5L9xEVk7aZR9vr5VfUf3W6
Recuerdos al Futuro (En Vivo),2018-05-25,Te Leo al Revés - En Vivo,49DssUO73AyQQ0ZGhODJVW
Recuerdos al Futuro (En Vivo),2018-05-25,Mi Amiga Soledad - En Vivo,2apwAocEU2i8AnuEgHdG1o
Recuerdos al Futuro (En Vivo),2018-05-25,Tengo Captura - En Vivo,0O9sEN2uUIZSyqYt7HJ8IG
Recuerdos al Futuro (En Vivo),2018-05-25,Querida Eugenia - En Vivo,6kv1LnReq2FtvvJvlvei6c
Recuerdos al Futuro (En Vivo),2018-05-25,A Jerry García - En Vivo,0tey91MOnGCT6HPUy7ozkE
Recuerdos al Futuro (En Vivo),2018-05-25,La Octava Maravilla - En Vivo,3D8qailmmHjsok7TyOOQaT
Recuerdos al Futuro (En Vivo),2018-05-25,La Nave - En Vivo,3BHomwKrbz5HofEJ2p8jaH
Recuerdos al Futuro (En Vivo),2018-05-25,El Espejo - En Vivo,4TQueX7FrECll6eaDvRwIu
Recuerdos al Futuro (En Vivo),2018-05-25,Niña Dios - En Vivo,2vlBeefzoFxrNsRTzDo49q
Recuerdos al Futuro (En Vivo),2018-05-25,"Sofía, La Súper Vedette - En Vivo",0Z9gUnorf5IQvyvLpq1cRz
Recuerdos al Futuro (En Vivo),2018-05-25,Seguro Es por Mi Culpa - En Vivo,1aI6RD8B8gJc7oYf9ijhx8
