album,album_release_date,track_name,track_id
The Future Is Your Past,2023-02-10,Do Rainbows Have Ends,6LfqiMQAbZjtSv0BuvEds1
The Future Is Your Past,2023-02-10,Nothing Can Stop The Sound,0UouPJ7iAlWKMZ4pJhyoXG
The Future Is Your Past,2023-02-10,The Light Is about To Change,4LDkUkhDPeCb4Gc28xcFxm
The Future Is Your Past,2023-02-10,Fudge,6LM5UWzTO0awFduCVtqdQe
The Future Is Your Past,2023-02-10,Cross Eyed Gods,0aBHcmvuV5ceTVAzL5EO14
The Future Is Your Past,2023-02-10,As The Carousel Swings,1uZbt95sSgLcCdEIKK9Bnc
The Future Is Your Past,2023-02-10,The Mother Of All Fuckers,3wtE1Nk55pWyNV26Ovs1VD
The Future Is Your Past,2023-02-10,All The Feels,6N2RDuUPld6Vn9vDqxuyKp
The Future Is Your Past,2023-02-10,Your Mind Is My Cafe,70GKVOjOmIbWexSpa0nE5U
The Future Is Your Past,2023-02-10,Stuck To Yous,4B2JHm1vbr5gPjEKHYnkVS
Fire Doesn't Grow On Trees,2022-06-24,The Real,2aDmtxqIHE6QEVogsbTECC
Fire Doesn't Grow On Trees,2022-06-24,Ineffable Mindfuck,75tF0Bd8L00CnnpvI9OA8Y
Fire Doesn't Grow On Trees,2022-06-24,It's About Being Free Really,696W1hC989CvxTqgupDJgZ
Fire Doesn't Grow On Trees,2022-06-24,Whats In A Name?,4UQOCfF1iYVJRceCSzE74c
Fire Doesn't Grow On Trees,2022-06-24,Silenced,15SWjcuUZmibgAlu4SxKil
Fire Doesn't Grow On Trees,2022-06-24,Before And Afterland,4xNqy9rXa30BboQr4hw7xD
Fire Doesn't Grow On Trees,2022-06-24,You Think I'm Joking?,38sdiLLDq3n0wajOYdH8qD
Fire Doesn't Grow On Trees,2022-06-24,#1 LUCKY KITTY,774H7JezDKBOABQ6WWt8RE
Fire Doesn't Grow On Trees,2022-06-24,Wait A Minute (230 to be exact),2l38iy7ODTLUDDUZpVG3kD
Fire Doesn't Grow On Trees,2022-06-24,Don't Let Me Get In Your Way,6gmMvCERHzPbV39XPtjEi3
The Brian Jonestown Massacre,2019-03-15,Drained,3J6jE5PGpTSTuJcrBVLcJF
The Brian Jonestown Massacre,2019-03-15,Tombes Oubliées,1qzang97Oosou2rXS2ccS4
The Brian Jonestown Massacre,2019-03-15,My Mind Is Filled With Stuff,3nc7mC0ai2DIOM1BccZ1oh
The Brian Jonestown Massacre,2019-03-15,Cannot Be Saved,2tv684ULseJAeH3uUqoZdN
The Brian Jonestown Massacre,2019-03-15,A Word,4mdT1oYvhgGKlwzPikakFQ
The Brian Jonestown Massacre,2019-03-15,We Never Had a Chance,4S1Vm2OvxfOPWkWbtloSXe
The Brian Jonestown Massacre,2019-03-15,To Sad To Tell You,3Qn125VQ3GT8vq1qf0aZqV
The Brian Jonestown Massacre,2019-03-15,Remember Me This,6mUkhuSuQ5QypLhwPmpufn
The Brian Jonestown Massacre,2019-03-15,What Can I Say,4SNMD5Hy7XvYYUNwEo2Tao
Something Else,2018-05-25,Hold That Thought,11mdh2Q7gU1huY7NoxTKFs
Something Else,2018-05-25,Animal Wisdom,311H6naCbteyTnxLRQKnrB
Something Else,2018-05-25,Psychic Lips,6Z6oresf3cR7bwXdTyX42N
Something Else,2018-05-25,Skin and Bones,5UXwwQoxR5aci0hXyg6172
Something Else,2018-05-25,My Poor Heart,6j7Hc32hvXJPxq2bF9C4TR
Something Else,2018-05-25,My Love,1CKRhwwVxHpD5vaBk1dg41
Something Else,2018-05-25,Who dreams of cats?,7qJR9Buzv0ouKnVZB5AXQx
Something Else,2018-05-25,Fragmentation,7bTXAW3VNiZjsQEcgpVBnj
Something Else,2018-05-25,Silent Stream,53ySpGhHcTnoBE8OvBjwkp
Don't Get Lost,2017-02-24,Open Minds Now Close,0WJYLEw0J1W0BY2vDarHc0
Don't Get Lost,2017-02-24,Melodys Actual Echo Chamber,0JT3Wu40hODL54gw2LtjI5
Don't Get Lost,2017-02-24,Resist Much Obey Little,21s6VYcRRvzJkNXg7xGkdX
Don't Get Lost,2017-02-24,Charmed I'm Sure,7lgtfhn2TfFg13LeGrDwJR
Don't Get Lost,2017-02-24,Groove Is In The Heart,5kGxP0eJCyfprMo4ZDqB8u
Don't Get Lost,2017-02-24,One Slow Breath,54oGkLYhcyzAMgs23M30bX
Don't Get Lost,2017-02-24,Throbbing Gristle,4ZrjVHgIcfqGQoRek62EEC
Don't Get Lost,2017-02-24,Fact 67,1isyIMI9qwUUyGTDUycZze
Don't Get Lost,2017-02-24,Dropping Bombs On The Sun,3Oi1jQpWQBnznsTEKqAaR8
Don't Get Lost,2017-02-24,UFO Paycheck,6b8krbGjFQSieevWvuveMl
Don't Get Lost,2017-02-24,Geldenes Herz Menz,7gsbEoG8Cs5UZV4FnG0JC7
Don't Get Lost,2017-02-24,Acid 2 Me Is No Worse Than War,77NM0EYNRIXK8XaLIjnGvX
Don't Get Lost,2017-02-24,Nothing New To Trash Like You,15cnnDXkNEtP1wj8YzVbeP
